ts,user,x_coordinate,y_coordinate,color
1491084379000,vW+AwwShf879vD8RL1DARK4I8zM=,259,297,0
1491106021000,YSi6oF59xyO08u89b+G46rtJGXA=,294,271,0
1491195915000,x4U+iqXCt6U9wkF0dfRJDeitDwE=,292,276,0
1491183239000,FTG5WhdGB0chGKwQleDLseI3Py8=,277,213,0
1491238362000,BHUDP1UwXIdUzPX/ArCFK2exZkY=,245,238,0
1491176446000,C+Lc3qkog2Oo93n7rUpdNBs77J8=,242,257,0
1491165181000,Cjf+YA/qcCI86bmyezxJ41R/Y1U=,293,272,0
1491236804000,vtyjsb2i8G5wNC4TvEmvv9O9BYY=,229,255,0
1491158229000,YvsjUYDRoMs3uBZfYtnZZpWhDVQ=,237,238,0
1491081876000,32dhGUCAbHPMGMiwt33rKZsaDLs=,242,267,0
1491194615000,gvYPA8YAooElUszHMaqmJIZ9cl8=,287,203,0
1491154756000,B9+++lJGk3hFyiMmkghF4AMi+L0=,202,239,0
1491067454000,ge6WZNl+iGd7RUsd9gFzfmKX8Y0=,270,290,0
1491120372000,bNFDIjwJVzuXMqrS4oTpiVsYdRk=,258,298,0
1491167541000,lbHyfkISfBBqfnEt0G32U6SGC0c=,274,218,0
1491091891000,nWn07Ze20w/8CJ1KTgnc6WaArXI=,300,285,0
1491138548000,oN/WR6NA8E6ARpRNr07jwUWJrGQ=,259,300,0
1491184717000,8C4+gtvsKoFUhhWTgrCGQmRU0Rk=,270,235,0
1491169137000,NPuAS0xA+aj2RwIM+FffieUOEXg=,201,234,0
1491166857000,6mB8QDCJ+czXJGOXzX94cTBL4HM=,274,229,0
1490995317000,0qItxpgNKCZNHRevw4g4lnbwyWg=,210,230,0
1491086655000,721kKRwA97yv4HJoNKxwXNKqrM8=,299,290,0
1491209024000,TZUTLAwpgE/O62qv+XdLXHXhVSw=,222,285,0
1491232345000,PsBzmmMmNYWXXmNBz0a2ZCQz1O0=,296,204,0
1491161060000,s34COo0RojEWkmjQ3yH1ysDDvsk=,296,272,0
1491132949000,GbgAdChx2G80pf6u0Toi6J/oBbw=,299,275,0
1490992919000,9FmI12fu2E/EeAqe/gE3wHuuHco=,299,249,0
1491121262000,UikZCEjLNdSMSJbdujqbERZE1nA=,289,273,0
1491236410000,cWDaY4HwPw4faT47Rjq3gI4giyM=,248,258,0
1491121056000,/3XTHKy/8xzJxy4m2XmuhgrKGpQ=,223,273,0
1491113604000,KBX9cGlQo+vHSHH19NvP6c/dJac=,254,298,0
1491101636000,6PDH/Nau1QW40sT3WIOsS7GM86A=,300,259,0
1491095433000,OsytP19FKkbUFRB/BixBcNoXrdU=,209,277,0
1491216517000,c1TkaeXbdbGXHglYq+Kx11KZRJs=,271,208,0
1491083469000,Ad3m7XHCXeEFxjVvucQNeBRAMyA=,282,253,0
1491165048000,nkIHdZ/vkYc4UMjoumSHKfXqlZc=,288,277,0
1491142342000,/23M6ved3eEaY3rHp3Y0p1ctO/w=,295,289,0
1491236181000,aEb06S8QntpNx63DX1U5YXiCIsQ=,203,236,0
1491003054000,4TQ81C78MbCdeSwzn4IxvigNoys=,239,200,0
1491202863000,tb//cv/a2sOlmnDYDH5Dbz+lq6k=,257,294,0
1491091426000,OMWEt4dwwA6C8iF+V1jq0Zi9tiI=,256,299,0
1491208692000,wpJR8w7ywhFQXxsAuTtQpDdIFaI=,282,215,0
1491145834000,ojV4fQ953AH9RKwtBtVQhi3eaCM=,249,259,0
1491166779000,/J0DSMomuVd/0UQZro6ZHDOVgTs=,286,233,0
1491064106000,LpdVd6InlbFUaWyuv5wKltLv/YY=,299,297,0
1491089063000,3O+ksqEMtnrinTMUu3vlLof0dJI=,258,296,0
1491087784000,mqCDWIIPM63LG3LiBohEUfZx+rc=,257,297,0
1491171342000,VPuRymCAWDxgG/YDwkp7PJhFXGA=,278,263,0
1491219394000,pPJepPKD/sTmt5X4KBURW+oMZ0I=,258,299,0
1491115138000,EW1v4r22zRooLTnqV+qRIuumC74=,279,212,0
1491119319000,s0eD8rLpCukPuqpgXy2/CCYMkio=,258,296,0
1491094051000,kI7pMSfQhuZOIKdoaJCLG6oKrgc=,258,297,0
1491175699000,8iCSZSocmTB1fpnXYBO3AWKreeY=,286,276,0
1491191351000,n/f5oGGbH1cw8vjkMTCy6ifWM88=,284,215,0
1491166675000,+Pp90CKE3YcaR+z7deUJMDN3/1s=,295,217,0
1491148037000,VBEh/HfjGc01gD3MmaLP5jkv/lM=,238,270,0
1491078066000,fHSAea4xg5WfJVeDJI1QDAAGU/E=,202,276,0
1491215797000,pVLppWqvwAP0GVtd5GNL8bRGHeE=,260,300,0
1491169515000,PAjvlb7XSx2358KEJxhHDIlyyCM=,237,276,0
1491088543000,l++glDHIYdhFsbyoL26OrLbx37g=,257,298,0
1491063042000,epyfBhW8YcGI7/7f812fBiZi9Oc=,246,249,0
1491186736000,LXJCeNbjR6JHW4WDnkQDvW8j12s=,300,279,0
1491166143000,wn8qfMezuokiVOeJVwSyrbM2SWA=,288,224,0
1491236153000,iTXhxhekVOpvfX5l65KG+kcxuAI=,291,281,0
1491163010000,2+zL1OYPU7WnTBDlUZ1JkRYwPb4=,287,271,0
1491094452000,7yM6RNQf1X4j32xmijN9RBQbkPg=,258,297,0
1491092749000,Z4tWqo0VtZa89MuMA9IKWcN7+Xg=,298,279,0
1491166477000,ipMq5gdTWSwRUt0XAc2VTKLjZKQ=,288,212,0
1491191691000,fJ5Q0jgkxVSIGSiuz7iAX2cui9U=,270,209,0
1491104606000,0MfrTANlYuyWalbL4CXqtGnqne8=,297,292,0
1491144309000,qC6sdx5R+1SBb/HzA4R7HR9D4Rc=,259,298,0
1491234033000,B0D8DEY7uJ4Pot4sgbcwnhovTT8=,250,253,0
1491189260000,7xpGCkoQRiqohjELjLG6CHf3Mp0=,250,300,0
1491149915000,Wnb6gXhnyIXFoHL/hFlW3yawPgI=,258,297,0
1491091997000,AI6lUiTyXc1SG2fVPG43vjFSCKA=,279,260,0
1491131609000,IOkjhSbdEsmTY5IDfTEwhPJB+Pc=,273,299,0
1491075518000,agWwRjZH6E6HPOvpAb/9r3NxeKA=,202,276,0
1491113414000,Fu3GhYoLu2SXV2xS9lNwLkdhpzE=,287,272,0
1491167293000,OxEL4o6b7ErXMnPCYmUCnOb9BnE=,297,300,0
1491164418000,s85KZ57VqcNlt8AIwWk3r3Gv8JQ=,207,245,0
1491176894000,amn3paBFr6BoaI5Mkbqwk/1aCxw=,286,271,0
1491184673000,LRkBrGMhuQnX4qUcT5yI5POLdK4=,292,208,0
1491196909000,n/f5oGGbH1cw8vjkMTCy6ifWM88=,289,215,0
1491137904000,A5LSmKCNQqZHK9WoQLqn3KuaSBI=,258,298,0
1491184349000,isvry7kDQy+TrywLslArsJZHiKo=,294,275,0
1491140908000,CT7tEgKbGUACczLwxRMCM2qsQfM=,225,274,0
1491218449000,vCGXE3olsjpTowQFVMbO1y9Q8mg=,255,297,0
1491151386000,Rc1O7/LUgX3fSMRYR+v9R/9jEUc=,258,298,0
1491166166000,RCT8mHM52vOJ8gwKtDJRrFqE0x4=,201,234,0
1491186886000,V5aVde9LyRNiPul55xKCUKXeFhY=,220,257,0
1491210784000,0dOqpDZPeedF004Vaphf3O54OkY=,259,296,0
1491172091000,FCX19yNcDXQoNV/xxICd5YbUlcA=,211,231,0
1491084267000,ahf6NKwwjB9DLX4w0DKY8URh/Q8=,296,277,0
1491069394000,oZZoL+EWRrWwTAm136DDXnT7CLc=,270,280,0
1491173720000,dD2lstOEqVYHDgzw2u2+hbNDM6I=,292,276,0
1491144267000,XVVsKZsceDnihPmHdXIc6WORp4Q=,256,296,0
1491098920000,L1rBGDK0l7KCIk8O1znrJSYKrKY=,288,227,0
1491100741000,2xMeoN5byT5qVOUnBqth0tDC5jw=,283,252,0
1491149155000,tRZ+8XaYRLpmbze7jzmhuoQLjHE=,231,286,0
1491171380000,ETuC8qAp9UsPBDyLRzjz7fqhUdw=,208,236,0
1491162900000,SZhGGY+jkpN/GpKlWBTF5YqRrhU=,256,298,0
1491158065000,Ql7slQvcaFEdUuwd/1dRwiINGu4=,286,273,0
1491166067000,MnJQ2XV80tlVCKSDZrs1+CXxZhY=,278,215,0
1491163037000,N8J2GRJuFnUZw5og2Ei465E1D7Q=,235,217,0
1491193380000,TZUTLAwpgE/O62qv+XdLXHXhVSw=,226,282,0
1491169637000,sg5ywWu0ifPfPfQWaEIQC2zn4jg=,258,300,0
1491071251000,1punGN23ikt1/0YNPfHr7CO6NEc=,244,231,0
1491187894000,4Yn1zmagD9iZEuRJ764amqL1lMA=,261,290,0
1491081616000,r+VQ3Bx/n4G/9TBgbZqZV7RHKK0=,296,213,0
1491191714000,U0imdEFp+QycR1qY8LUGHqRVW1I=,256,297,0
