ts,user,x_coordinate,y_coordinate,color
1491184077000,PUjRvgDdjJtbL5fCGk0MGa+xH44=,223,204,0
1490996462000,pFwsVFgh38KSDWlANVD0hFvJtGY=,223,204,0
1491023546000,vHaU5goqiwxKoE/tqai1GaSFF+4=,222,201,0
1491126533000,SSgY2gisvQle4/FlaoG50F4wkbI=,211,215,0
1491154445000,ExKtrperMUx+iNmTTIImKk8AhyU=,208,215,0
1491159352000,m5Q4vX2N/B1RTNCTjEXYuvJpsow=,223,205,0
1491161078000,nY0JWRbs2Ea4tr+5ZTxBq3gFdfo=,203,206,0
1491161342000,Xe9u/CwJKvEQPBWiG9SOmR/l8kI=,211,225,0
1491223557000,VAay64QNt1/tZAf4z08YVneV15o=,201,206,0
1491158777000,Pb3AIK8h8feKDAFtHMYnlo4s8mM=,223,207,0
1491193886000,V7PLCDq5nX7CDUFfxSR1vRYm0Dw=,203,216,0
1491190867000,gV/KGlgbNcCjvm+vmP1oPNY5eOY=,213,222,0
1491186921000,ibFZE7PJdxJRqTus0Zi7Sg1C6Z8=,200,209,0
1491223817000,aQQpKsuj98+t52sTuNOOzs/GTxQ=,201,208,0
1491127182000,NBFtHJK4zTK3Dv7BrC0LtYzPaNA=,204,208,0
1491190564000,nY0JWRbs2Ea4tr+5ZTxBq3gFdfo=,206,209,0
1491160523000,2VBuzNfiEcoD2Bneyk9BO8qqLo8=,224,206,0
1491164547000,RArHX3bGpy743XUqh+eibs4cLhk=,202,224,0
1491169706000,Nz8eHr/RlssOqsYNhyTBjVL1AyE=,201,217,0
1491076108000,0T4+LYvaPfSjodETLh13plvHno4=,209,219,1
1491079585000,ZUEFq4S1wuEBivYujbWL+aK6bGs=,209,217,1
1491009858000,+GiG+HKku3aU1u73D7n5A0xvJyI=,219,200,2
1491092638000,dhVRYzU54WZKS7jNXNf4nS+0CB4=,211,219,2
1491072201000,rFkrWt5UgJfcLMEshyqmr+SfoJg=,204,222,2
1491073309000,N5kmGTFodahcKuxyuJpfH08B+14=,206,222,2
1491072225000,N5kmGTFodahcKuxyuJpfH08B+14=,205,222,2
1491149700000,2vC8W/ZIZ9PClkp68anhGhILaMI=,207,223,2
1491170640000,rHApO9WvCwMXAPZwd349TsdioxM=,203,213,3
1490990550000,9WbfIF2lvjJcn4cNq4O8BWWgwgc=,216,207,3
1491075354000,KyfnGjhzMK1WNjdUOjE8EPmEtO4=,202,210,3
1491199145000,DUpx4q/mR5XJ8ZH1j2kZ+PM4v5w=,211,219,3
1491060184000,Yk5tfqFDYc41Z1KGPv+QMa+Pwrw=,221,203,3
1491195514000,RCUOwxmPYeNCpYA2N2MBe+D9iYQ=,209,219,3
1491188019000,TrAqLN/0ps6brzPECRJnnHePjB8=,210,219,3
1491174380000,UnDZ89872+t6zR/480VDeBUHD7Q=,212,218,3
1491161669000,p9q3UE2f+TaQN6UA0Mt5yO9Xuoc=,223,211,3
1491228406000,2SzBmSWidWDH70mkFaTQXdNhsSY=,218,223,3
1491097425000,+mx3HGIxG130GPp9L3xnv8HQSe0=,201,201,3
1491190635000,rW3R9RIZexYW0GZ4ahgERh4BDAg=,211,219,3
1491170001000,XmDHxGpqWC12won6p3ZcuR08vhk=,209,222,3
1491189964000,rW3R9RIZexYW0GZ4ahgERh4BDAg=,216,218,3
1491176005000,dzZuYEx2nDU6UIqkzzuchc94RHU=,212,219,3
1491020746000,f5VywPuSYU2yIb20AuOqRWo82bs=,208,201,3
1491059145000,zhG/xr6cfL2gPGhNQ3Q2etYuc4M=,201,209,3
1491177302000,dzZuYEx2nDU6UIqkzzuchc94RHU=,205,216,3
1491176877000,hZjTPJBhMPrehFMxO4pWSiSk3Ok=,206,218,3
1491092201000,kilsyimzQ9qC1Av9azdIXyUoKS0=,207,211,3
1491233517000,kLJl75cBkQ96AlmjGcW45oMTprU=,206,224,3
1491174960000,XiuH4RdjdWYcwl/h1l8KzXRZ9zI=,208,222,3
1491185657000,QP1hIDVnXDicnKOB2tUq+enNWqw=,213,218,3
1491195207000,RCUOwxmPYeNCpYA2N2MBe+D9iYQ=,210,218,3
1491097304000,QL5ap/7GfQ524oG+npjKHqENVtk=,200,206,3
1491185589000,6E6Ra98lj4/+d0N5BGbIjyhtN3c=,210,219,3
1491175029000,dzZuYEx2nDU6UIqkzzuchc94RHU=,214,217,3
1490990324000,Qy4ZIOR8U15IaQ99+kGT1YvmHHY=,225,206,3
1491213118000,wKOZs+9rGmLJfoMpMsHeabM0zGU=,210,220,3
1491167581000,FEnP+fiYPu5tbZ94vYoFJbjxwNk=,214,218,3
1491068480000,sEJHzAiUf1NoTkYnTkBXuZscpgY=,200,209,3
1491169756000,xj6+a3QBdx/K73fy0npCppcgeog=,206,220,3
1491179563000,e8DFeBQ2DgYl8E41VcPcB+7zrNs=,200,209,3
1491011887000,PEUShzYswcAAIGdnb5IaLFpDiXI=,200,202,3
1491189272000,6E6Ra98lj4/+d0N5BGbIjyhtN3c=,221,219,3
1491169996000,GuFEveXru8CZAa++bVRHC0DDM2s=,205,216,3
1491003645000,j3lzY+tXXU3b6On6hP1PZi3gcow=,223,204,3
1491171242000,rHApO9WvCwMXAPZwd349TsdioxM=,203,214,3
1491066978000,sEJHzAiUf1NoTkYnTkBXuZscpgY=,200,207,3
1491165642000,VfKfirqUadFK8rA3jPWSiSbNXOE=,205,214,3
1491065856000,zhG/xr6cfL2gPGhNQ3Q2etYuc4M=,203,209,3
1491120520000,Aku+kM/YKYDHnCtAlSnTdgBDYII=,214,218,3
1491168738000,gw3wGbaXyTl+qdm1nonHn+8iQ3k=,204,214,3
1491202670000,f5VywPuSYU2yIb20AuOqRWo82bs=,215,220,3
1491204100000,PgQ6woUhy2zEet3oZbf4ptxoA30=,222,222,3
1491166142000,UnDZ89872+t6zR/480VDeBUHD7Q=,211,220,3
1491069091000,sEJHzAiUf1NoTkYnTkBXuZscpgY=,200,208,3
1491172727000,0X3UIkT7UHk64+KWZQ7T+VLdCsQ=,222,220,3
1491185217000,6E6Ra98lj4/+d0N5BGbIjyhtN3c=,209,219,3
1491176700000,gw3wGbaXyTl+qdm1nonHn+8iQ3k=,204,214,3
1491053446000,RyePMTZQgNztNyh6FLCtj0tuh60=,222,221,3
1491184243000,WnD9FSV2zVev5Dn4T9xS14vXyNM=,214,218,3
1490992928000,X5aQS48IU8vJ8yoV3Njh3pDHPXY=,212,207,3
1491169913000,sadDKRjDJLAdA0lvExub6eYgxxY=,204,216,3
1491178534000,dzZuYEx2nDU6UIqkzzuchc94RHU=,205,217,3
1491085913000,PqhHooXL9BmFWzRkOikilpLSluk=,224,212,3
1491236808000,IlXSt/i68uf5Ie/FG3tw4K502p0=,215,219,3
1491177713000,QlTVWOP5Ow8trwrQlFDXZQ3fdOU=,220,206,3
1491236055000,RxfQGpwlKVw96utNRPmaj0js7bM=,201,207,3
1491174290000,MMJ5qxkrEqnGvc/wssaCFy+4iDE=,209,220,3
1491168934000,+7Yh5ekslmcqagHODtzYix63BE0=,214,219,3
1491238463000,JLNkALWr00vc6qo2r0rK1BsZKSM=,213,215,3
1491167928000,UnDZ89872+t6zR/480VDeBUHD7Q=,210,220,3
1491200174000,BWrueZ7DtdI+D8ljqiI7dgSMsFI=,214,217,3
1491191868000,KhTAMfMDvpNjM9lusLWa+GQRtQI=,211,219,3
1491184664000,Vi3QIxtM64yAh1ItqdIRL8e3cuA=,220,224,3
1491224175000,gCbnyat6OrKWd5EoZNCY1zSpAYw=,209,203,3
1491077544000,nbVNLPgUuFyahzw/qMesKP+rqkc=,213,210,3
1491194344000,gw3wGbaXyTl+qdm1nonHn+8iQ3k=,216,218,3
1491205907000,wKOZs+9rGmLJfoMpMsHeabM0zGU=,211,219,3
1491169748000,xa1NGU0hkjUcLVWUYVAJz+p496k=,203,214,3
1491157201000,6N0Py8BXZxP/aiJtEjKu9Xx7HIU=,223,209,3
1490994100000,yQm2pC4ISZs4ayTCRab32n3oplQ=,208,207,3
1491064334000,NJ7Duz7Z78PPbTBAM278o5MfDO4=,205,210,3
1491174252000,9dtL9UAenXos0f1Rxnb/zgLm1pA=,212,219,3
1491023334000,UV4sg++tXFBge++QRsk1tcU53us=,211,200,3
1491188187000,CJY3WQaPbM/9QAw6N0sOW40XEWQ=,208,218,3
1491164965000,b8hoT3SOBf1ZXEy4GRAEptE5o9s=,207,223,3
1491181692000,U8JkChzJP0i0JwgP81jYU+OFT28=,208,219,3
1491187707000,6E6Ra98lj4/+d0N5BGbIjyhtN3c=,224,221,3
1491186683000,55Z9ZHIUVteb3QzKdhR/oP+pnKs=,225,218,3
1491172798000,+Sp0XQELvFKTfnKa91e8gV4b97w=,202,216,3
1491170851000,rRTHV6h+/kdcb5XWewA3QfXGRCY=,206,220,3
1491198884000,UdwKQtRyIpxIu6NdtL1Lfzu7+Zc=,203,211,3
1491140412000,w0+TQmTKkmjCiSLp7Z6/AFBnh+s=,221,206,3
1491058046000,pAM+DbIT6p+G8DMqbq2nXA3FLv0=,203,200,3
1491213803000,qZ7Umxy6vC2PAeGCsth8Z/hH0Vc=,220,203,3
1491184617000,WnD9FSV2zVev5Dn4T9xS14vXyNM=,216,218,3
1491200226000,+5Ual8TGx95ymcde8j6+5N+24kM=,202,212,3
1491098155000,xY7jlQgJnlorRM8gTP+TBN/zDYU=,208,202,3
1491180347000,e8DFeBQ2DgYl8E41VcPcB+7zrNs=,200,208,3
1490998860000,5U5F/5apQVjLxFO6LTiGm+OOO5A=,214,210,3
1491066091000,Q45k2nQ77dt/xcjyHbdgwjnZ4LE=,202,200,3
1491194077000,bajK9A5ohKJ49oz66y6QrJRdo5s=,211,214,4
1491179036000,iA3sKUqxOz8vhk0YEy/+hq5yMfM=,217,210,4
1491178841000,C6mGsyTmRZP5ABs4HUJZ6daTV6Q=,217,207,4
1491165564000,x8lM9lHC22ZBBrpg0eq/q4+rGCs=,211,219,4
1491177023000,SSeSFYO0d4jHkY+SM7A0NcpkBvI=,211,220,4
1491182442000,iEy8I5+jT+L0+uFhIhSBxaNLatQ=,213,213,4
1491180969000,X9j0bsRTEJfzPE9VI2eLl9WtKKQ=,213,213,4
1491181244000,oThH5yjhD1UxiWh1nxxrPHI2e8U=,210,213,4
1491177713000,1eISGP2nWxuoegRzLDk8Vt/NrJI=,217,207,4
1491091199000,qnl9V/mUE9VVUTkVWUR0azS9U5E=,208,217,4
1491079738000,UuDP1ZYSND8AN2SkutJTxNOTwcI=,216,213,4
1491236996000,TrSwTPByhmn8tnUt6mTSRK7jgH0=,213,218,4
1491165555000,hx5QUh4PxEnUP2iMLsf5yCp49IE=,211,219,4
1491238651000,gZoOS+rrlRUXtSZFzDtD+gfWeN4=,212,216,4
1491099392000,RRe3bKfEDgwsoxG+DpMyB1EpC4c=,210,218,4
1491172303000,SSeSFYO0d4jHkY+SM7A0NcpkBvI=,210,220,4
1490996180000,rvDgpGQmFj5l+uv+jAxMjkD9b4Y=,214,207,4
1491164868000,1xexFuWOZGcEH86XxYYUDbhhCis=,211,219,4
1491171433000,1eISGP2nWxuoegRzLDk8Vt/NrJI=,212,220,4
1491195408000,oThH5yjhD1UxiWh1nxxrPHI2e8U=,211,218,4
1491233232000,feOvioRgZII5L8+dxTY410KG2mk=,214,218,4
1491079702000,QOxdJ96Zrn49oiW72TJmxEkUu5Q=,216,212,4
1491169441000,njHyAfWlsf9rlG1AwowqMgVWilA=,212,219,4
1491147718000,jTEqDdOsU7z/+TkVYd/rdz2saRo=,217,213,4
1491171330000,5AklP3EwzJNmJlhkViYzqGRvlfE=,210,220,4
1491148920000,02hD4H7LSEzFL0T7djix8HDebQo=,207,216,4
1491172427000,NAGjXS55u2J+VQW3THRQUHPlUYw=,211,220,4
1491100573000,TlEEZKMfEUjEnGrVwBKpnSTK6hE=,225,209,4
1491053265000,wyf2U2G1NLvDUQRkSA/EfmgrhcY=,216,214,4
1491180936000,JwH1smBhbXfxIvotU+Re6fTHJyQ=,210,214,4
1491098112000,Dn021owVlOM4StskSZIrUqcZewg=,209,215,4
1491181305000,jkii012BwR0ihNo8PYUh1WTHcFM=,211,213,4
1491172770000,1eISGP2nWxuoegRzLDk8Vt/NrJI=,210,220,4
1491072616000,GVh/MkagIHc2ufTLqXDfkf92w3U=,212,224,4
1491175376000,glouEnb4unOIJ5adDJcC429yaqM=,207,218,4
1491186079000,JCD6KEcZ1dXPMa8cbfeyWT4JN5I=,211,214,4
1491089719000,hEdYvRS0QtSKnUC08p6nUC0Cqto=,213,216,4
1491134092000,f3XYBbal8TP1kYUZNI4YRkPfaSk=,211,216,4
1491134202000,8Vj36ihu6Hwk6t0v7vwpSJMMpT8=,211,216,4
1491169626000,NAGjXS55u2J+VQW3THRQUHPlUYw=,214,218,4
